iter	Passed	Remaining
0	123	123608
1	126	62886
2	128	42552
3	129	32307
4	131	26144
5	133	22099
6	136	19377
7	140	17382
8	142	15679
9	144	14295
10	146	13173
11	148	12238
12	150	11408
13	151	10694
14	153	10087
15	155	9545
16	157	9083
17	159	8689
18	160	8299
19	162	7955
20	164	7658
21	166	7399
22	168	7139
23	172	7007
24	175	6830
25	177	6642
26	178	6448
27	180	6257
28	183	6136
29	184	5979
30	186	5834
31	188	5701
32	190	5577
33	192	5475
34	194	5367
35	197	5277
36	198	5172
37	201	5089
38	202	4995
39	204	4911
40	206	4831
41	208	4758
42	210	4687
43	212	4616
44	214	4550
45	217	4501
46	219	4445
47	221	4386
48	223	4331
49	225	4284
50	227	4233
51	229	4183
52	231	4131
53	232	4081
54	235	4046
55	237	3999
56	238	3953
57	241	3928
58	244	3904
59	246	3865
60	248	3828
61	250	3794
62	252	3753
63	253	3711
64	255	3673
65	258	3651
66	259	3615
67	261	3585
68	263	3559
69	266	3537
70	269	3530
71	272	3508
72	274	3481
73	276	3455
74	278	3429
75	279	3400
76	281	3377
77	283	3352
78	285	3325
79	288	3320
80	291	3307
81	294	3295
82	295	3265
83	297	3242
84	300	3235
85	303	3220
86	306	3215
87	308	3198
88	311	3187
89	313	3169
90	316	3157
91	318	3148
92	320	3127
93	322	3111
94	324	3092
95	326	3073
96	328	3059
97	330	3040
98	331	3021
99	334	3006
100	336	2997
101	338	2979
102	340	2967
103	342	2951
104	344	2936
105	347	2927
106	349	2916
107	351	2899
108	353	2889
109	355	2876
110	357	2861
111	359	2853
112	362	2844
113	365	2837
114	367	2824
115	368	2811
116	370	2798
117	372	2785
118	374	2772
119	377	2764
120	378	2751
121	380	2740
122	382	2726
123	384	2717
124	386	2705
125	388	2695
126	391	2688
127	393	2678
128	394	2666
129	397	2661
130	399	2650
131	401	2639
132	403	2632
133	405	2622
134	407	2613
135	409	2604
136	411	2592
137	413	2581
138	415	2574
139	417	2565
140	419	2554
141	420	2542
142	422	2532
143	424	2523
144	426	2515
145	428	2507
146	430	2497
147	431	2486
148	434	2480
149	436	2472
150	438	2465
151	440	2458
152	442	2450
153	444	2442
154	446	2435
155	448	2427
156	450	2417
157	452	2411
158	454	2403
159	455	2393
160	456	2381
161	458	2373
162	460	2366
163	462	2357
164	464	2349
165	466	2342
166	467	2334
167	469	2326
168	472	2320
169	473	2313
170	475	2305
171	477	2299
172	479	2292
173	481	2285
174	483	2278
175	485	2272
176	487	2266
177	489	2260
178	491	2252
179	492	2244
180	494	2238
181	497	2235
182	499	2228
183	501	2223
184	503	2217
185	505	2211
186	507	2206
187	509	2199
188	510	2192
189	512	2184
190	515	2183
191	517	2178
192	519	2171
193	521	2165
194	523	2159
195	524	2153
196	526	2147
197	528	2140
198	530	2133
199	531	2126
200	533	2121
201	535	2115
202	537	2108
203	538	2101
204	540	2095
205	542	2090
206	544	2084
207	546	2079
208	547	2073
209	549	2067
210	551	2063
211	553	2056
212	555	2051
213	556	2044
214	558	2039
215	560	2034
216	562	2028
217	564	2023
218	565	2017
219	567	2011
220	569	2007
221	571	2003
222	573	1998
223	575	1992
224	577	1988
225	579	1983
226	580	1977
227	582	1972
228	584	1968
229	586	1962
230	587	1957
231	590	1953
232	591	1948
233	593	1943
234	596	1941
235	598	1936
236	599	1931
237	601	1926
238	603	1920
239	605	1916
240	606	1911
241	608	1906
242	610	1901
243	611	1895
244	613	1890
245	615	1885
246	616	1880
247	618	1875
248	620	1871
249	622	1866
250	624	1862
251	625	1857
252	627	1852
253	629	1847
254	630	1842
255	632	1838
256	634	1834
257	636	1830
258	638	1826
259	640	1821
260	641	1817
261	643	1812
262	645	1808
263	647	1804
264	648	1799
265	650	1794
266	652	1790
267	653	1785
268	655	1780
269	657	1776
270	658	1772
271	660	1768
272	662	1764
273	664	1760
274	666	1756
275	668	1752
276	669	1748
277	671	1743
278	673	1739
279	674	1734
280	676	1730
281	678	1727
282	679	1722
283	681	1717
284	683	1713
285	685	1710
286	686	1706
287	689	1704
288	690	1699
289	692	1696
290	695	1693
291	696	1689
292	698	1685
293	700	1681
294	702	1678
295	704	1674
296	705	1670
297	707	1666
298	709	1662
299	710	1657
300	712	1653
301	714	1650
302	715	1646
303	717	1642
304	718	1638
305	721	1636
306	723	1632
307	724	1628
308	727	1625
309	728	1622
310	731	1620
311	732	1616
312	734	1612
313	736	1608
314	738	1606
315	741	1603
316	743	1601
317	745	1597
318	748	1597
319	750	1593
320	753	1593
321	754	1589
322	756	1585
323	758	1583
324	760	1579
325	762	1576
326	764	1574
327	766	1571
328	768	1567
329	770	1564
330	772	1560
331	773	1556
332	775	1553
333	777	1549
334	779	1546
335	780	1543
336	782	1540
337	784	1536
338	786	1532
339	787	1528
340	789	1525
341	790	1521
342	792	1517
343	794	1514
344	796	1511
345	797	1508
346	799	1504
347	801	1501
348	803	1498
349	804	1494
350	807	1492
351	808	1488
352	810	1486
353	812	1482
354	814	1479
355	815	1476
356	817	1472
357	819	1469
358	821	1466
359	823	1463
360	824	1459
361	826	1456
362	828	1453
363	829	1449
364	831	1446
365	833	1443
366	834	1439
367	836	1436
368	838	1434
369	840	1431
370	842	1427
371	843	1424
372	845	1421
373	847	1418
374	849	1415
375	851	1412
376	852	1408
377	854	1405
378	856	1403
379	857	1399
380	859	1396
381	861	1393
382	863	1391
383	865	1388
384	866	1384
385	868	1381
386	870	1378
387	872	1375
388	873	1372
389	875	1369
390	877	1366
391	878	1362
392	879	1358
393	881	1356
394	883	1352
395	884	1349
396	886	1346
397	888	1343
398	890	1340
399	892	1338
400	894	1335
401	896	1333
402	897	1330
403	899	1327
404	901	1324
405	903	1321
406	904	1318
407	906	1315
408	908	1312
409	909	1309
410	911	1306
411	913	1303
412	915	1300
413	916	1297
414	919	1295
415	920	1292
416	922	1289
417	924	1286
418	926	1284
419	927	1281
420	929	1278
421	931	1276
422	933	1273
423	935	1270
424	936	1267
425	938	1265
426	940	1261
427	941	1258
428	943	1255
429	945	1252
430	946	1249
431	948	1246
432	950	1244
433	952	1242
434	954	1239
435	956	1237
436	958	1234
437	960	1232
438	963	1230
439	965	1228
440	967	1225
441	969	1224
442	972	1222
443	974	1219
444	975	1216
445	977	1214
446	979	1211
447	981	1209
448	983	1206
449	984	1203
450	986	1200
451	988	1198
452	990	1196
453	992	1193
454	994	1190
455	995	1187
456	997	1185
457	999	1183
458	1001	1180
459	1003	1177
460	1004	1174
461	1006	1172
462	1009	1170
463	1010	1167
464	1012	1165
465	1014	1162
466	1016	1159
467	1018	1157
468	1020	1155
469	1022	1152
470	1023	1149
471	1025	1147
472	1027	1144
473	1028	1141
474	1030	1139
475	1032	1136
476	1034	1133
477	1035	1131
478	1037	1128
479	1039	1126
480	1041	1123
481	1044	1122
482	1045	1119
483	1047	1116
484	1049	1114
485	1051	1112
486	1053	1109
487	1054	1106
488	1056	1103
489	1057	1101
490	1059	1098
491	1061	1095
492	1063	1093
493	1064	1090
494	1066	1087
495	1068	1085
496	1070	1082
497	1072	1080
498	1074	1078
499	1075	1075
500	1077	1073
501	1079	1070
502	1081	1068
503	1082	1065
504	1084	1062
505	1085	1059
506	1087	1057
507	1089	1054
508	1090	1052
509	1092	1049
510	1093	1046
511	1095	1043
512	1097	1041
513	1098	1038
514	1100	1036
515	1102	1033
516	1103	1031
517	1106	1029
518	1108	1027
519	1109	1024
520	1111	1021
521	1113	1019
522	1115	1017
523	1116	1014
524	1118	1012
525	1120	1009
526	1121	1006
527	1123	1004
528	1125	1001
529	1126	999
530	1128	996
531	1129	993
532	1131	991
533	1133	989
534	1135	986
535	1136	984
536	1138	981
537	1140	979
538	1141	976
539	1143	974
540	1145	971
541	1146	969
542	1148	966
543	1150	964
544	1152	961
545	1153	959
546	1155	956
547	1157	954
548	1158	951
549	1160	949
550	1162	947
551	1164	944
552	1165	942
553	1166	939
554	1168	936
555	1170	934
556	1171	932
557	1173	929
