iter	Passed	Remaining
0	148	148513
1	151	75579
2	154	51283
3	157	39127
4	159	31762
5	162	26899
6	165	23464
7	168	20909
8	173	19056
9	175	17421
10	179	16105
11	182	14994
12	184	14037
13	187	13233
14	191	12567
15	194	11965
16	197	11441
17	201	10992
18	204	10551
19	207	10161
20	211	9840
21	213	9501
22	217	9232
23	221	8994
24	223	8732
25	227	8522
26	230	8290
27	233	8099
28	236	7913
29	239	7734
30	242	7573
31	245	7438
32	248	7295
33	252	7186
34	256	7063
35	259	6953
36	262	6842
37	267	6762
38	270	6661
39	273	6569
40	277	6481
41	280	6397
42	283	6303
43	286	6222
44	289	6149
45	293	6086
46	297	6033
47	300	5967
48	303	5894
49	306	5827
50	309	5761
51	312	5691
52	315	5636
53	318	5580
54	321	5521
55	324	5468
56	326	5409
57	329	5358
58	332	5306
59	336	5264
60	339	5223
61	342	5183
62	345	5142
63	349	5108
64	352	5071
65	355	5037
66	358	4994
67	360	4935
68	362	4894
69	365	4853
70	367	4813
71	371	4788
72	374	4753
73	377	4722
74	380	4697
75	384	4671
76	387	4649
77	392	4633
78	395	4606
79	399	4588
80	404	4592
81	408	4571
82	411	4546
83	414	4518
84	416	4487
85	419	4461
86	421	4428
87	425	4410
88	429	4394
89	431	4367
90	434	4341
91	437	4318
92	439	4290
93	444	4282
94	447	4258
95	450	4244
96	453	4220
97	456	4199
98	458	4176
99	462	4158
100	464	4135
101	465	4101
102	468	4084
103	472	4068
104	475	4052
105	478	4032
106	481	4014
107	484	4000
108	487	3982
109	490	3969
110	493	3953
111	497	3942
112	500	3926
113	503	3913
114	506	3898
115	509	3883
116	512	3868
117	515	3854
118	518	3837
119	520	3819
120	523	3805
121	526	3789
122	527	3764
123	532	3761
124	536	3754
125	539	3743
126	544	3740
127	545	3719
128	549	3709
129	553	3706
130	556	3694
131	560	3683
132	563	3674
133	566	3660
134	569	3648
135	571	3633
136	574	3620
137	576	3602
138	580	3598
139	585	3594
140	588	3587
141	593	3586
142	600	3599
143	603	3587
144	609	3596
145	618	3615
146	623	3618
147	627	3611
148	636	3638
149	643	3647
150	646	3635
151	651	3633
152	656	3634
153	659	3624
154	665	3627
155	670	3625
156	674	3622
157	678	3614
158	681	3607
159	684	3595
160	688	3589
161	691	3578
162	696	3577
163	699	3568
164	702	3556
165	707	3552
166	709	3541
167	712	3529
168	715	3518
169	718	3508
170	726	3520
171	730	3518
172	734	3511
173	738	3505
174	741	3495
175	745	3491
176	749	3485
177	753	3477
178	756	3470
179	759	3461
180	761	3446
181	764	3438
182	768	3430
183	772	3423
184	776	3420
185	784	3431
186	788	3428
187	791	3419
188	798	3426
189	802	3420
190	805	3412
191	809	3408
192	813	3401
193	816	3393
194	819	3384
195	823	3377
196	826	3370
197	829	3361
198	834	3357
199	838	3353
200	842	3349
201	845	3341
202	851	3342
203	854	3334
204	859	3331
205	862	3326
206	866	3320
207	871	3317
208	876	3315
209	880	3312
210	885	3310
211	888	3304
212	893	3300
213	898	3298
214	901	3292
215	905	3284
216	908	3277
217	912	3272
218	915	3266
219	919	3261
220	923	3255
221	927	3248
222	932	3248
223	935	3242
224	940	3239
225	943	3231
226	946	3224
227	950	3218
228	953	3210
229	957	3205
230	960	3198
231	964	3191
232	967	3186
233	971	3179
234	974	3172
235	977	3165
236	981	3158
237	985	3153
238	987	3145
239	991	3138
240	995	3134
241	998	3128
242	1002	3121
243	1005	3115
244	1008	3109
245	1012	3103
246	1016	3097
247	1019	3090
248	1022	3084
249	1025	3077
250	1029	3072
251	1032	3065
252	1035	3058
253	1039	3051
254	1041	3044
255	1045	3037
256	1049	3033
257	1052	3027
258	1056	3022
259	1060	3017
260	1064	3012
261	1067	3007
262	1070	3000
263	1074	2996
264	1077	2989
265	1081	2984
266	1084	2977
267	1088	2972
268	1091	2965
269	1094	2960
270	1098	2955
271	1101	2949
272	1104	2942
273	1108	2936
274	1112	2932
275	1114	2924
276	1118	2918
277	1121	2912
278	1124	2905
279	1127	2899
280	1131	2895
281	1134	2888
282	1137	2883
283	1141	2878
284	1144	2872
285	1148	2866
286	1151	2859
287	1155	2856
288	1159	2851
289	1162	2846
290	1165	2839
291	1168	2833
292	1172	2828
293	1175	2823
294	1178	2817
295	1182	2811
296	1185	2807
297	1188	2800
298	1192	2796
299	1195	2789
300	1199	2785
301	1204	2783
302	1207	2777
303	1210	2771
304	1213	2766
305	1218	2762
306	1221	2757
307	1225	2752
308	1228	2747
309	1231	2742
310	1234	2735
311	1238	2730
312	1241	2724
313	1244	2718
314	1248	2713
315	1251	2708
316	1254	2702
317	1258	2698
318	1261	2693
319	1265	2689
320	1268	2683
321	1274	2682
322	1277	2678
323	1281	2674
324	1285	2669
325	1288	2664
326	1292	2660
327	1295	2654
328	1299	2650
329	1302	2644
330	1306	2639
331	1308	2632
332	1312	2628
333	1315	2622
334	1318	2618
335	1322	2612
336	1325	2608
337	1330	2605
338	1333	2600
339	1337	2595
340	1340	2589
341	1343	2585
342	1346	2579
343	1350	2574
344	1353	2568
345	1356	2563
346	1359	2558
347	1363	2553
348	1365	2547
349	1368	2542
350	1373	2540
351	1376	2534
352	1381	2531
353	1385	2527
354	1390	2525
355	1393	2521
356	1398	2518
357	1400	2512
358	1404	2507
359	1408	2503
360	1411	2498
361	1415	2493
362	1419	2490
363	1422	2484
364	1425	2480
365	1429	2476
366	1432	2470
367	1436	2467
368	1439	2462
369	1443	2457
370	1446	2452
371	1449	2447
372	1452	2442
373	1456	2437
374	1460	2434
375	1463	2428
376	1466	2423
377	1469	2418
378	1473	2413
379	1476	2408
380	1479	2403
381	1482	2398
382	1485	2392
383	1487	2386
384	1491	2382
385	1494	2376
386	1497	2372
387	1500	2366
388	1503	2361
389	1507	2357
390	1510	2352
391	1513	2348
392	1517	2344
393	1521	2340
394	1525	2335
395	1528	2330
396	1531	2325
397	1537	2326
398	1540	2320
399	1543	2315
400	1548	2313
401	1552	2309
402	1555	2304
403	1561	2303
404	1565	2300
405	1573	2301
406	1583	2307
407	1587	2303
408	1590	2298
409	1594	2293
410	1598	2290
411	1601	2285
412	1604	2280
413	1608	2276
414	1611	2271
415	1615	2267
416	1618	2262
417	1621	2257
418	1625	2254
419	1629	2250
